app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,result
1,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",Soul App个人信息保护政策,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
2,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",更新日期：2023年11月21日,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
3,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",生效日期：2023年11月28日,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
4,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","Soul App是由上海任意门科技有限公司及其关联公司（注册地址为：中国（上海）自由贸易试验区芳春路400号1幢3层304室，以下简称""我们""或""Soul""）为用户（以下简称""您""，详情请查阅关键词定义）提供的社交类应用软件，包括移动应用、小程序及快应用（以下简称""Soul App""）。","{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
5,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","我们通过Soul App为您提供""灵魂匹配、发帖回复、聊天""等功能，我们现在或将来还可能为您提供其他产品与/或服务（以下简称""Soul产品与/或服务或本产品与/或服务""，详情请查阅关键词定义）。","{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
6,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","我们根据《中华人民共和国个人信息保护法》和《中华人民共和国网络安全法》等相关法律法规制定《Soul App个人信息保护政策》（以下简称""本政策""）并保护您的个人信息安全。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
7,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",所有Soul产品与/或服务均适用本政策。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
8,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",本政策介绍了我们在向您提供Soul产品与/或服务的过程中处理您个人信息的目的、方式、范围、保存期限和信息安全保护措施，以及您行使法律规定权利的方式和程序。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
9,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请您知悉，Soul不使用Cookie或其他同类技术追踪您的个人信息。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
10,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请您结合我们的《Soul App用户服务协议》仔细阅读本政策，并在同意本政策约定内容的情况下使用Soul产品与/或服务。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
11,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","对所有重点内容，我们将采用""加粗""的书写方式进行提示。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
12,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","对于个人敏感信息，我们采用""加粗斜体""的书写方式进行特别提醒，希望您在阅读时特别关注。","{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
13,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",在您向我们提供您的任何个人敏感信息前，您已慎重考虑并在此确认该等提供是适当的，您在此同意您的个人敏感信息可按照本政策所述的目的和方式进行处理。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
14,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",个人信息权利的实现方式包括但不限于查阅、复制、更正、补充、删除、注销、撤回授权、要求我们解释说明本政策、及时得到响应等，以确保您实现对您个人信息的控制权。,"{""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0}"
15,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",我们会严格依据本政策以及您的同意处理您的个人信息。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
16,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如您不同意本政策，您应当停止使用Soul产品与/或服务。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
17,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请您理解，Soul App经更新后，如果您是小于18周岁的未成年人，请您不要注册Soul App。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
18,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",若您是小于18周岁的未成年人但在Soul App（版本号： 3.8.36）更新前已注册了Soul账号，我们将为您提供青少年保护服务模式。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
19,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",关于青少年保护服务模式的具体内容及限制，请以实际页面展示为准。,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
20,,Soul,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如何收集和使用您的个人信息,"{""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0}"
