app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,incorrect,incomplete,inconsistent
1,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",更新时间：2023年 08月 11日,0,0,0
2,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",生效时间：2023年 08月 18日,0,0,0
3,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",1.我们将逐一说明我们收集的您的个人信息类型及其对应的用途，以便您了解我们针对某一特定功能所收集的具体个人信息种类、使用场景、使用目的及方式。,0,0,0
4,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",当您使用某一功能时，我们会遵循合法、正当、必要的原则，并在获得您的同意后收集您的一些个人信息。,1,0,0
5,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",对于我们收集的个人信息明细，您可以查阅《个人信息收集清单》 。,0,0,0
6,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",2.在我们向您提供产品/服务时，由于部分服务是我们无法单独完成的，因此我们会在采取严格安全措施的前提下委托授权第三方合作伙伴或使用第三方SDK相关技术为您提供部分服务或代表我们履行部分职能，以保您能正常使用相关产品/服务。,1,0,0
7,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",我们会要求第三方合作伙伴签署保密协议、要求其遵守保密协议、按照《世纪佳缘隐私保护政策》以及其他任何相关的保密和安全措施来收集、使用、存储、披露和处理您的个人信息。,1,0,0
8,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",对于我们APP中嵌入的第三方SDK，您可查阅《第三方SDK清单》。,1,0,0
9,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",3.当您使用某些功能时，我们会在获得您的同意后，收集您的敏感个人信息，如您在使用缘分功能时我们会收集您的位置信息。,1,0,0
10,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",除非按照相关法律法规要求必须收集，拒绝提供这些信息仅会使您无法使用相关特定功能，但不影响您正常使用世纪佳缘的其他功能。,0,0,0
11,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",4.您可以通过本政策所列途径及方式查阅、更正、删除您的个人信息，也可以撤回同意、注销帐号、投诉举报以及设置个性化推荐管理的隐私功能。,0,0,0
12,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",5.为了在本政策下收集您的信息，或者向您提供服务、优化我们的服务以及保障您的帐号安全，我们将需要向您索取相关的权限；,1,0,0
13,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",其中的敏感权限 位置、摄像头、麦克风、相册 均不会默认开启，只有在您明确同意后我们才会在您同意的范围内调用或使用。,1,0,0
14,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",我们收集、使用的信息,0,0,0
15,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",信息的存储,0,0,0
16,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",信息安全,0,0,0
17,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",信息共享、转让、公开披露,1,0,0
18,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",您的权利,0,0,0
19,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",我们如何使用 Cookie 和同类技术,0,0,0
20,,世纪佳缘,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",7.变更,0,0,0
