app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,incorrect,incomplete,inconsistent
215,com.qamarapps.quran13line,Quran 13 Line,3,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data isn’t encrypted', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}, {'category': 'Committed to follow the Play Families Policy', 'sub_info': []}]}","Data Share:
We do not sell, trade, or transfer your Personally Identifiable Information to outside parties without providing users with advance notice. This excludes website hosting partners and other parties assisting us in operating our website and conducting our business, provided these parties agree to keep this information confidential. We may release information when its release is necessary to comply with the law, enforce our site policies, or protect our or others’ rights, property, or safety. However, non-personally identifiable visitor information could be provided to other parties for marketing, advertising, or other uses. Our site does not permit third-party behavioral tracking.
Data Collect:
We collect personal information from visitors to our blog, website, or application when they order or register on our site. As appropriate, users may be asked to enter their email address or other details to enhance their experience. We gather information when you complete a form, open a Support Ticket, enter information on our site, or play audio. We use this information in various ways such as to personalize your experience, respond to customer service requests, or for security measures. All sensitive/credit information you supply is encrypted via Secure Socket Layer (SSL) technology. Transactions are processed through a third-party gateway provider, not stored or processed on our servers. It's important to note that we do not specifically target children under 13, nor do we permit any third parties, including ad networks or plugins, to collect PII from children under this age.",1,1,1
6,com.choicely.miss.international,Miss International,1,"{'data_shared': [], 'data_collected': [{'category': 'Personal info', 'sub_info': [{'data_type': 'Name', 'purpose': 'Account management', 'optional': True}, {'data_type': 'Email address', 'purpose': 'Account management', 'optional': True}]}, {'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Diagnostics', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Other app performance data', 'purpose': 'Analytics', 'optional': False}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'You can request that data be deleted', 'sub_info': []}]}","Data Share: The content does not specify any explicit data sharing practices, although the community guidelines do point out that comments with personal information leaks will not be deleted. This implies a degree of public information sharing within the community. However, implications of sharing user's information with third parties or other entities aren't mentioned.
Data Collect: The privacy policy does not specify the types of data it collects from the users. It only states the website is for exchanging information and news about Miss International and user comments will not be deleted. While it doesn't specifically detail the type of user information it collects, the mention of not deleting comments containing personal information leaks suggests that user comments might be stored. Also, if users are engaging through comments, it might be inferred that user data such as username or user ID could be collected.",1,0,0
424,com.tenta.android,Tenta Private VPN Browser,5,"{'data_shared': [], 'data_collected': [{'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': True}, {'data_type': 'Diagnostics', 'purpose': 'Analytics', 'optional': True}, {'data_type': 'Other app performance data', 'purpose': 'Analytics', 'optional': True}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Email address', 'purpose': 'App functionality - Account management', 'optional': True}]}, {'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'App functionality - Analytics', 'optional': True}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics', 'optional': True}, {'data_type': 'Other user-generated content', 'purpose': 'Advertising or marketing', 'optional': True}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}]}","Data Share:
According to the policy, the data security is given topmost priority. The data that is needed to be processed is safeguarded by the highest security standards possible. Exceptional attention is focused on allowing users to maintain security over their files, data, and browsing habits. Tools necessary to ensure this level of security are provided.
Data Collect:
The policy stresses on the minimal collection of data. Data collection happens only when necessary for a specific purpose and not on the off-chance of being useful later. When data is collected, it is put to use to benefit users, with the aim of enhancing their online experience. This is achieved by improving threat detection and prevention capabilities. Users are given control over their data with the help of easy-to-use tools in order to regulate its usage. If any personal data needs to be collected, a clear explanation regarding its need and usage is provided.",1,0,0
212,com.main.ultimateframedata,Ultimate Frame Data,3,"{'data_shared': [], 'data_collected': []}","Data Share:
The application may link to third-party websites, online services, or mobile applications that are not affiliated, implying no endorsement by the application. Any data shared with these third parties is not covered by this privacy notice. The application is not responsible for the content, or privacy and security practices and policies of any third parties. You should review the policies of such third parties and contact them directly to respond to your questions.
In some regions, like the European Economic Area (EEA), UK, and Canada, you have rights that allow you greater access to and control over your personal information. You may review, change, or terminate your account at any time. You have the right to withdraw your consent at any time for the processing of your personal information.
If you are a California resident, you can request and obtain information about categories of personal information disclosed to third parties for direct marketing purposes. Individuals under 18 who reside in California and have a registered account with Services can request the removal of unwanted data posted on the Services.
Data Collect:
The application uses cookies and similar tracking technologies to collect and store your information. Personal information is kept as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law. Once there is no ongoing legitimate business need to process your personal information, it is either deleted or anonymized if possible. Otherwise, it is securely stored and isolated from any further processing until deletion is possible.
However, despite the safeguards, electronic transmission over the Internet or information storage technology cannot be guaranteed to be 100% secure. Therefore, the transmission of personal information to and from the Services is at your own risk.
The application does not knowingly collect data from or market to children under 18 years of age. If it's learned that personal information from users less than 18 years of age has been collected, the account will be deactivated, and measures will be taken to promptly delete the data.
Changes to privacy notice are made as required to stay compliant with relevant laws. Users are encouraged to regularly review the notice to be informed of how their information is being protected.",1,0,0
220,com.AutoDataNet.app,Auto-Data.net,3,"{'data_shared': [], 'data_collected': [{'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'App functionality - Analytics - Fraud prevention - security - and compliance', 'optional': False}, {'data_type': 'Diagnostics', 'purpose': 'App functionality - Analytics - Fraud prevention - security - and compliance', 'optional': False}]}, {'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Analytics - Fraud prevention - security - and compliance', 'optional': False}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can’t be deleted', 'sub_info': []}]}","Data Share:
Auto-Data.net does not share your personal data publicly. When you visit the site, some information may be automatically recorded from your device, including IP address, browser type, and access times. This is done to enhance your experience and provider safety and security. Your information will be stored on servers within the European Union.
Third-party services such as Google Analytics are used to analyze how users interact with the site. Google Analytics uses cookies to assess site usage and activity - this information will be transmitted to Google servers in the United States. Data may be stored in cookies when you log into your account, including your username and hashed password.
In the context of advertising, third-party companies may store information about your visits to Auto-Data.net and other websites to provide relevant advertisements about goods and services. These companies may use cookies and other identifiers to measure advertising effectiveness.
Data Collect:
Auto-Data.net collects your email address, username, password, and IP address. The email address is retained to secure your account and provide high-quality support as needed. Your username and password are collected to facilitate account logins. Your IP address is processed to deter ""spam""-like behavior.
Automatic data collection also occurs when you visit the site, including recording from your device, web pages visited before and during your time on the site, and the dates and times of your visits.
If you create an account, your email, username, and password are held for 24 hours pending email confirmation. If no response is received after 24 hours, this data is permanently deleted. Once confirmed, your personal data is kept for 60 months after your last use of your account.
Furthermore, if you use the contact form on the site, your email address is processed to provide a quality support experience.",1,1,0
306,com.samsung.android.oneconnect,SmartThings,4,"{'data_shared': [{'category': 'Personal info', 'sub_info': [{'data_type': 'User IDs', 'purpose': 'App functionality - Account management', 'optional': False}]}, {'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'App functionality - Account management', 'optional': False}]}], 'data_collected': [{'category': 'Personal info', 'sub_info': [{'data_type': 'User IDs', 'purpose': 'App functionality - Account management', 'optional': False}]}, {'category': 'Photos and videos', 'sub_info': [{'data_type': 'Photos', 'purpose': 'App functionality', 'optional': True}, {'data_type': 'Videos', 'purpose': 'App functionality', 'optional': True}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'Location', 'sub_info': [{'data_type': 'Approximate location', 'purpose': 'App functionality', 'optional': False}, {'data_type': 'Precise location', 'purpose': 'App functionality', 'optional': False}]}, {'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'App functionality - Account management', 'optional': False}]}, {'category': 'Audio', 'sub_info': [{'data_type': 'Voice or sound recordings', 'purpose': 'App functionality', 'optional': True}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'You can request that data be deleted', 'sub_info': []}]}","Data Share:
SmartThings App provides a unified experience for the whole home. Our partnership with Samsung allows users' home appliances, TVs, and devices to be linked and controlled via their Galaxy phones or smart monitors. We extend this partnership to elevate the smart home experience offered by SmartThings Station and Hub Everywhere feature.
Data Collect:
We gather data about users through the operation of our services such as the SmartThings Energy for home energy monitoring and the SmartThings Music Sync for synchronizing lights and music. These insights, collected with the purpose of improving user experience, inform our venture on new features and partnerships, and how we can help users control their home devices better.",1,1,0
222,com.molatra.trainchinese,trainchinese Dictionary,3,"{'data_shared': [{'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Advertising or marketing', 'optional': False}]}], 'data_collected': [{'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Advertising or marketing', 'optional': False}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics', 'optional': False}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'You can request that data be deleted', 'sub_info': []}]}","Data Share:
Trainchinese BV does not sell, trade or rent Personally Identifiable Information collected on the site. User's personal details are kept on the company's servers in a manner that can only be accessed by the user, identified by their username and password. While the app versions and device information are stored on the server, this data is used to create an anonymous token that identifies the device. It's essential for synchronizing multiple devices and troubleshooting. Should the user request, Trainchinese BV will delete their account and associated server data, but any public contributions to discussions will retain the user’s trainchinese username.
Data Collect:
When users register at trainchinese, personal details are collected to create an account. This can include voluntary information such as name, country of residence, languages spoken and level of Chinese. The site also collects website usage details, information about the user's computer and internet connection, the type and version of the browser and operating system used, and the URL of the linking page if arriving via a link from another website. The app keeps detailed information on the vocabulary learned by the user and their training activities. Functionalities such as Optical Character Recognition (OCR) and speech recognition require images and audio to be captured and processed respectively. In case of purchases or transactions, the services of third parties are employed to process credit card payments securely, meaning Trainchinese BV does not have direct access to credit card data.",1,1,0
308,com.reworewo.prayertimes,Prayer Times and Qibla,4,"{'data_shared': [], 'data_collected': [{'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}, {'data_type': 'Diagnostics', 'purpose': 'Analytics', 'optional': False}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}]}","Data Share:
The Application does not share any user-identifiable information with third parties. It uses Google’s Firebase service only for tracking analytics and crashes anonymously. All data collected are not linked to a specific individual.
Data Collect:
The application requires location and storage permissions. Location permission is needed to calculate prayer times based on the user's location. Storage permission, specifically read storage permission, is required to read or save audio files on the SD Card. The application does not collect, store, or use any personal information that can uniquely identify an individual.",1,1,0
210,com.symbols24.androidapp,24symbols – online books,3,"{'data_shared': [], 'data_collected': [{'category': 'Photos and videos', 'sub_info': [{'data_type': 'Photos', 'purpose': 'Personalization', 'optional': True}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'Other user-generated content', 'purpose': 'App functionality - Analytics - Personalization', 'optional': True}]}, {'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'App functionality - Analytics - Developer communications - Personalization', 'optional': False}]}, {'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'App functionality - Analytics', 'optional': False}, {'data_type': 'Diagnostics', 'purpose': 'App functionality - Analytics', 'optional': False}, {'data_type': 'Other app performance data', 'purpose': 'App functionality - Analytics - Advertising or marketing', 'optional': False}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Name', 'purpose': 'Developer communications - Personalization', 'optional': True}, {'data_type': 'Email address', 'purpose': 'App functionality - Analytics - Developer communications - Personalization - Account management', 'optional': False}, {'data_type': 'User IDs', 'purpose': 'App functionality - Analytics - Developer communications - Personalization - Account management', 'optional': False}, {'data_type': 'Other info', 'purpose': 'App functionality - Analytics - Personalization', 'optional': True}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}]}","Data Share:
BestSharer S.L. shares personal information within affiliated companies, provided the user has given explicit approval. It can also be shared to provide the requested services, enforce the terms and conditions, comply with laws and regulations, manage disputes with financial entities requiring reader behaviour data, in the event of a transfer of 24symbols' ownership, for advertising audits, and to share usage data with third-party recommendation engines for personalized services. The privacy policy stipulates no sharing of personally identifying information, except within the stipulated contexts. However, activating 24symbols social reading capabilities can make the account name of the used social network visible to other users. Information may also be transferred for processing on servers in other countries, in compliance with the privacy policy and applicable laws.
Data Collect:
BestSharer S.L., owner of the 24symbols brand, collects personal information from users to communicate regarding services and to improve their products and offerings. Such information includes name, email address, phone number, gender, age, and other optional data provided by the user. Automated collection includes activity on the 24symbols services, details of interaction (like registration time, subscription time etc.), payment details (minimized to last four digits of payment card and transaction details), interactions with the support service, and data about the devices used for accessing the service. Information obtained through cookies is also part of their data collection. If users opt to use the social capabilities on 24symbols, their social network username and interaction will also be stored.",1,1,0
307,com.urbanpoint.UrbanPoint,Urban Point,4,"{'data_shared': [{'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Analytics - Advertising or marketing - Personalization - Account management', 'optional': False}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics - Advertising or marketing - Personalization', 'optional': False}, {'data_type': 'In-app search history', 'purpose': 'Analytics - Advertising or marketing - Personalization', 'optional': False}]}, {'category': 'Location', 'sub_info': [{'data_type': 'Approximate location', 'purpose': 'Advertising or marketing - Personalization', 'optional': False}, {'data_type': 'Precise location', 'purpose': 'Advertising or marketing - Personalization', 'optional': False}]}, {'category': 'Financial info', 'sub_info': [{'data_type': 'Purchase history', 'purpose': 'Analytics - Advertising or marketing - Personalization', 'optional': False}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Name', 'purpose': 'Advertising or marketing - Personalization', 'optional': False}, {'data_type': 'Email address', 'purpose': 'Advertising or marketing - Personalization', 'optional': False}, {'data_type': 'User IDs', 'purpose': 'Advertising or marketing - Personalization - Account management', 'optional': False}, {'data_type': 'Phone number', 'purpose': 'Advertising or marketing - Personalization - Account management', 'optional': False}]}], 'data_collected': [{'category': 'Device or other IDs', 'sub_info': [{'data_type': 'Device or other IDs', 'purpose': 'Analytics - Advertising or marketing - Personalization - Account management', 'optional': False}]}, {'category': 'App activity', 'sub_info': [{'data_type': 'App interactions', 'purpose': 'Analytics - Advertising or marketing - Personalization', 'optional': False}, {'data_type': 'In-app search history', 'purpose': 'Analytics - Advertising or marketing - Personalization', 'optional': False}]}, {'category': 'App info and performance', 'sub_info': [{'data_type': 'Crash logs', 'purpose': 'Analytics', 'optional': False}]}, {'category': 'Location', 'sub_info': [{'data_type': 'Approximate location', 'purpose': 'Advertising or marketing - Personalization', 'optional': False}, {'data_type': 'Precise location', 'purpose': 'Advertising or marketing - Personalization', 'optional': False}]}, {'category': 'Financial info', 'sub_info': [{'data_type': 'Purchase history', 'purpose': 'Analytics - Advertising or marketing - Personalization', 'optional': False}]}, {'category': 'Personal info', 'sub_info': [{'data_type': 'Name', 'purpose': 'Advertising or marketing - Personalization', 'optional': False}, {'data_type': 'Email address', 'purpose': 'Advertising or marketing - Personalization', 'optional': False}, {'data_type': 'User IDs', 'purpose': 'Advertising or marketing - Personalization - Account management', 'optional': False}, {'data_type': 'Phone number', 'purpose': 'Advertising or marketing - Personalization - Account management', 'optional': False}]}], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'You can request that data be deleted', 'sub_info': []}]}","Data Share:
Upon registration, we may share your details with Urban Point Merchants to update you on deals, news, and special offers. This information may be shared with specific Merchants when requested, to facilitate offer redemption. Any personal data shared with Merchants occurs only if you engage in an Identification Activity, and it's restricted to the Merchant involved. Note, this may allow a Merchant to directly market to you. Although we instruct Merchants to use this information only for specific promotion with Urban Point, we cannot control their actions and thus, disclaim any liability for their actions.
Data Collect:
We collect your information upon registration on Urban Point. This data might include your e-mail, contact number for updates, news, and special offer notifications. In specific situations, Merchants may also access some of your Personally Identifiable Information to assist in offer redemption when you engage in an Identification Activity.",1,1,0
