app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,result
1,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #2 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

如何收集和使用您的个人信息
【同簇句】
您如何管理您的个人信息
【同簇句】
如何存储您的个人信息
【同簇句】
如何保护您的个人信息
【同簇句】
如何保护未成年人个人信息
【同簇句】
如何收集和使用您的个人信息
【同簇句】
您如何管理您的个人信息
【同簇句】
删除您的个人信息
【同簇句】
如何存储您的个人信息
【同簇句】
如何保护您的个人信息
【同簇句】
如何保护未成年人个人信息",Soul App个人信息保护政策,
2,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #7 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

生效日期：2023年11月28日
【同簇句】
对所有重点内容，我们将采用""加粗""的书写方式进行提示。
【同簇句】
如何更新本政策
【同簇句】
此方式下收集您个人信息的详细情况，请您参见本政策第1.5节的内容。
【同簇句】
意见反馈
【同簇句】
征得同意的例外
【同簇句】
基于您自行提出的要求、或事先获得您明确的同意或授权；
【同簇句】
基于您自行提出的要求、或事先获得您明确的同意或授权；
【同簇句】
征得同意的例外
【同簇句】
您可以通过下述路径行使此类权利：
【同簇句】
更改您授权同意的范围
【同簇句】
近亲属的权利
【同簇句】
如何更新本政策
【同簇句】
请您仔细阅读变更后的本政策内容。
【同簇句】
若涉及重大、实质性变更，我们会依据具体情况，以显著的方式通知您（包括但不限于在""自己-设置-关于Soul-公告栏""向您发送更新通知、在页面弹窗或通过站内信方式提示等）。",更新日期：2023年11月21日,
3,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #7 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

更新日期：2023年11月21日
【同簇句】
对所有重点内容，我们将采用""加粗""的书写方式进行提示。
【同簇句】
如何更新本政策
【同簇句】
此方式下收集您个人信息的详细情况，请您参见本政策第1.5节的内容。
【同簇句】
意见反馈
【同簇句】
征得同意的例外
【同簇句】
基于您自行提出的要求、或事先获得您明确的同意或授权；
【同簇句】
基于您自行提出的要求、或事先获得您明确的同意或授权；
【同簇句】
征得同意的例外
【同簇句】
您可以通过下述路径行使此类权利：
【同簇句】
更改您授权同意的范围
【同簇句】
近亲属的权利
【同簇句】
如何更新本政策
【同簇句】
请您仔细阅读变更后的本政策内容。
【同簇句】
若涉及重大、实质性变更，我们会依据具体情况，以显著的方式通知您（包括但不限于在""自己-设置-关于Soul-公告栏""向您发送更新通知、在页面弹窗或通过站内信方式提示等）。",生效日期：2023年11月28日,
4,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #13 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

我们通过Soul App为您提供""灵魂匹配、发帖回复、聊天""等功能，我们现在或将来还可能为您提供其他产品与/或服务（以下简称""Soul产品与/或服务或本产品与/或服务""，详情请查阅关键词定义）。
【同簇句】
当您使用Soul App中某些特定类型的产品与/或服务（包括：作为「群聊派对」（详情请查阅关键词定义）的发起人、作为文字群组的群主、「社区SSR认证」（详情请查阅关键词定义）、加入校园吧、使用「Soul游乐园」及Soul接入的第三方游戏服务、封号申诉和境外手机登录场景等）时，您需要向我们提供您本人的真实姓名及身份证号码信息。
【同簇句】
信息内容发布、浏览、点赞和分享功能
【同簇句】
为了提升您发布「瞬间」的体验，在您点击""发布""确认上传之前，我们会将该内容临时加载至服务器并通过技术方式自动识别您输入的内容并向您推荐相关的话题，以帮助更多用户在您""发布""后发现您的「瞬间」，若您不接受推荐的，可以通过本协议第3.5条关闭。
【同簇句】
您可以通过""摇一摇""、""抖一抖""等动作参与Soul App的互动场景或实现互动效果（包括奇遇铃、星球摇一摇、旋转相机拍摄、广告互动），我们将使用您的设备传感器信息（包括陀螺仪传感器信息、加速度传感器信息、重力传感器信息），以识别您的动作，为您展示互动场景或实现互动效果。
【同簇句】
个性化匹配和推荐
【同簇句】
个性化匹配和推荐是Soul App的核心特色之一。
【同簇句】
个性化内容：为了向您展示、推荐或推送您可能感兴趣的图文视频/群组/派对/「瞬间」话题，提供搜索结果，推荐商品和服务，我们会使用您注册时提供的基本资料（包括年龄/生日、性别、所在地、引力签、学业情况）、您使用服务期间产生的行为数据（包括注册时间、「瞬间」、用户互动记录、网络日志）、消费情况和设备信息，形成用户属性分类，并对不同属性的用户采用不同的内容展示策略。
【同簇句】
例如，若您在引力签中说明您喜欢旅游，则我们可能更多地向您展示带有旅游话题标签的内容；
【同簇句】
个性化广告：为了向您展示、推荐或推送与您的偏好有更高匹配及关联程度的广告，我们会使用您注册时提供的基本资料（包括年龄/生日、性别、所在地、时区、引力签）、您使用服务期间产生的行为数据（包括广告点击、转化情况、网络日志）设备信息和网络类型，形成用户特征标签，并根据广告主指定的目标人群类型，通过系统自动化地将广告投放给相关人群用户。
【同簇句】
例如，若您是女性用户，则我们可能会向您投放化妆品类广告；
【同簇句】
搜索功能
【同簇句】
为帮助投放广告或提供商业化决策建议、提高广告有效触达率、进一步了解用户需求，我们会与广告主和/或其委托的代理商、广告服务供应商、广告监测公司（统称""广告合作伙伴""）共享您的经去标识化的设备信息或用户画像统计信息，在不借助额外信息的情况下，这些信息难以或无法与您的真实身份相关联。
【同簇句】
您可以通过点击""自己""访问您发布的瞬间，通过点击""广场-信封图标""查阅您曾点赞、评论过的瞬间及各类通知信息；
【同簇句】
对于您不感兴趣的「广场」内容，您可以通过点击""不喜欢""屏蔽该动态。
【同簇句】
如果您不希望我们在您使用时为您推送您可能感兴趣的信息和内容，您可以通过点击""我-设置-隐私-个性化服务""关闭针对此部分的个性化推荐功能。
【同簇句】
如果您不愿意看到我们根据您的偏好向您展示的广告，您可以通过点击""自己-设置-隐私-个性化广告""关闭个性化广告推荐功能，关闭后您仍会看到广告，但个性化程度会降低。
【同簇句】
星球：根据算法推荐可能感兴趣的用户列表，在视觉与交互层面模拟了星团样式。
【同簇句】
瞬间：用户可以以发布动态的形式分享自有信息，和以浏览动态的形式获得他人分享的信息。
【同簇句】
信息的媒介包含但不限于文字、图片、视频、音频、音乐链接、投票、地点，并可以对信息进行赞、评论、收藏、转发的互动交流。
【同簇句】
社区SSR认证：""SSR""全称""Super Soul Real""，是对Soul优质内容创作者的统称。
【同簇句】
Soul""SSR""计划致力于挖掘、培养、扶持原创内容作者。
【同簇句】
用户成为SSR达人，将有机会获得专属标志、现金激励、官方推荐等多项专属权益助力成长。
【同簇句】
包含「虚拟现场」、PK等多个玩法。
【同簇句】
引力签：用户可以添加描述自己的标签，这些标签可能会涉及描述用户的兴趣、爱好、性格、履历或职业信息。
【同簇句】
系统会将这些标签应用于内容推荐与用户匹配，向用户推送可能感兴趣的内容或其他用户。","Soul App是由上海任意门科技有限公司及其关联公司（注册地址为：中国（上海）自由贸易试验区芳春路400号1幢3层304室，以下简称""我们""或""Soul""）为用户（以下简称""您""，详情请查阅关键词定义）提供的社交类应用软件，包括移动应用、小程序及快应用（以下简称""Soul App""）。",
5,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #13 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

Soul App是由上海任意门科技有限公司及其关联公司（注册地址为：中国（上海）自由贸易试验区芳春路400号1幢3层304室，以下简称""我们""或""Soul""）为用户（以下简称""您""，详情请查阅关键词定义）提供的社交类应用软件，包括移动应用、小程序及快应用（以下简称""Soul App""）。
【同簇句】
当您使用Soul App中某些特定类型的产品与/或服务（包括：作为「群聊派对」（详情请查阅关键词定义）的发起人、作为文字群组的群主、「社区SSR认证」（详情请查阅关键词定义）、加入校园吧、使用「Soul游乐园」及Soul接入的第三方游戏服务、封号申诉和境外手机登录场景等）时，您需要向我们提供您本人的真实姓名及身份证号码信息。
【同簇句】
信息内容发布、浏览、点赞和分享功能
【同簇句】
为了提升您发布「瞬间」的体验，在您点击""发布""确认上传之前，我们会将该内容临时加载至服务器并通过技术方式自动识别您输入的内容并向您推荐相关的话题，以帮助更多用户在您""发布""后发现您的「瞬间」，若您不接受推荐的，可以通过本协议第3.5条关闭。
【同簇句】
您可以通过""摇一摇""、""抖一抖""等动作参与Soul App的互动场景或实现互动效果（包括奇遇铃、星球摇一摇、旋转相机拍摄、广告互动），我们将使用您的设备传感器信息（包括陀螺仪传感器信息、加速度传感器信息、重力传感器信息），以识别您的动作，为您展示互动场景或实现互动效果。
【同簇句】
个性化匹配和推荐
【同簇句】
个性化匹配和推荐是Soul App的核心特色之一。
【同簇句】
个性化内容：为了向您展示、推荐或推送您可能感兴趣的图文视频/群组/派对/「瞬间」话题，提供搜索结果，推荐商品和服务，我们会使用您注册时提供的基本资料（包括年龄/生日、性别、所在地、引力签、学业情况）、您使用服务期间产生的行为数据（包括注册时间、「瞬间」、用户互动记录、网络日志）、消费情况和设备信息，形成用户属性分类，并对不同属性的用户采用不同的内容展示策略。
【同簇句】
例如，若您在引力签中说明您喜欢旅游，则我们可能更多地向您展示带有旅游话题标签的内容；
【同簇句】
个性化广告：为了向您展示、推荐或推送与您的偏好有更高匹配及关联程度的广告，我们会使用您注册时提供的基本资料（包括年龄/生日、性别、所在地、时区、引力签）、您使用服务期间产生的行为数据（包括广告点击、转化情况、网络日志）设备信息和网络类型，形成用户特征标签，并根据广告主指定的目标人群类型，通过系统自动化地将广告投放给相关人群用户。
【同簇句】
例如，若您是女性用户，则我们可能会向您投放化妆品类广告；
【同簇句】
搜索功能
【同簇句】
为帮助投放广告或提供商业化决策建议、提高广告有效触达率、进一步了解用户需求，我们会与广告主和/或其委托的代理商、广告服务供应商、广告监测公司（统称""广告合作伙伴""）共享您的经去标识化的设备信息或用户画像统计信息，在不借助额外信息的情况下，这些信息难以或无法与您的真实身份相关联。
【同簇句】
您可以通过点击""自己""访问您发布的瞬间，通过点击""广场-信封图标""查阅您曾点赞、评论过的瞬间及各类通知信息；
【同簇句】
对于您不感兴趣的「广场」内容，您可以通过点击""不喜欢""屏蔽该动态。
【同簇句】
如果您不希望我们在您使用时为您推送您可能感兴趣的信息和内容，您可以通过点击""我-设置-隐私-个性化服务""关闭针对此部分的个性化推荐功能。
【同簇句】
如果您不愿意看到我们根据您的偏好向您展示的广告，您可以通过点击""自己-设置-隐私-个性化广告""关闭个性化广告推荐功能，关闭后您仍会看到广告，但个性化程度会降低。
【同簇句】
星球：根据算法推荐可能感兴趣的用户列表，在视觉与交互层面模拟了星团样式。
【同簇句】
瞬间：用户可以以发布动态的形式分享自有信息，和以浏览动态的形式获得他人分享的信息。
【同簇句】
信息的媒介包含但不限于文字、图片、视频、音频、音乐链接、投票、地点，并可以对信息进行赞、评论、收藏、转发的互动交流。
【同簇句】
社区SSR认证：""SSR""全称""Super Soul Real""，是对Soul优质内容创作者的统称。
【同簇句】
Soul""SSR""计划致力于挖掘、培养、扶持原创内容作者。
【同簇句】
用户成为SSR达人，将有机会获得专属标志、现金激励、官方推荐等多项专属权益助力成长。
【同簇句】
包含「虚拟现场」、PK等多个玩法。
【同簇句】
引力签：用户可以添加描述自己的标签，这些标签可能会涉及描述用户的兴趣、爱好、性格、履历或职业信息。
【同簇句】
系统会将这些标签应用于内容推荐与用户匹配，向用户推送可能感兴趣的内容或其他用户。","我们通过Soul App为您提供""灵魂匹配、发帖回复、聊天""等功能，我们现在或将来还可能为您提供其他产品与/或服务（以下简称""Soul产品与/或服务或本产品与/或服务""，详情请查阅关键词定义）。",
6,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #18 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

我们会严格依据本政策以及您的同意处理您的个人信息。
【同簇句】
向您提供产品与/或服务过程中您主动提供的个人信息
【同簇句】
3）第三方用户信息：如果您选择使用第三方用户账号登录的，您同意我们根据您的选择情况收集您的微信昵称、头像和/或Apple用户名、邮箱名。
【同簇句】
为了更好地向您提供服务，我们可能会通过短信的方式合理地向您发送商业性服务信息。
【同簇句】
如果您不想收到此类商业性营销活动信息，您可以通过短信提示回复「退订」或通过本政策第8条的方式联系我们进行退订或关闭，退订成功后我们将不再向您发送此类型的短信。
【同簇句】
为了方便您了解产品和服务的相关情况和优惠，我们会基于您的消费记录和使用偏好通过产品和服务展示页面、站内信等方式向您推荐营销活动信息。
【同簇句】
为了给您提供更好的使用体验，我们会为您提供下述扩展业务功能，在您使用此类功能时，我们会基于特定目的收集您的个人信息。
【同簇句】
礼品购买和邮寄
【同簇句】
我们会定期举办一些不同主题的线上/线下活动，并选取部分幸运用户赠送Soul App周边礼品。
【同簇句】
如果您在Soul App中购买或收到了由其他用户赠送的实物礼品，您需要向我们提供兑换申请码以及收货人姓名、收货地址和手机号码。
【同簇句】
向您提供产品与/或服务过程中我们主动收集的个人信息
【同簇句】
我们收集上述信息是为了能更好的用于安全维护及优化本产品与/或服务，为您提供更好的使用体验。
【同簇句】
消费记录信息
【同簇句】
同时，基于风控和提供服务之目的，我们还可以监控网络变化，提示用户当前网络环境。
【同簇句】
我们从第三方获取的您的个人信息
【同簇句】
我们可能会在您的同意范围内从第三方（我们的合作方）处收集并使用您的个人信息。
【同簇句】
我们保证依照与第三方签订的合同以及相关法律法规的规定处理您的个人信息，同时请您详细阅读该第三方的个人信息保护政策及用户协议。
【同簇句】
为了向您提供更完善、更优质的产品和服务，某些功能可能由我们的技术服务合作方提供，我们可能会委托合作方处理您的某些个人信息。
【同簇句】
对我们委托处理您个人信息的公司、组织和个人，我们会在与其签署的合作协议中明确要求合作方仅按照我们的要求、本政策的规定以及其他任何相关的保密和安全措施来处理您的个人信息，并对其个人信息处理活动进行监督。
【同簇句】
我们可能会根据法律法规规定、诉讼争议解决需要，或按行政、司法机关依法提出的要求，对外共享您的个人信息；
【同簇句】
与合作方共享：为了向您提供更完善、优质的产品和服务，我们的某些服务将由合作方提供。
【同簇句】
我们可能会与合作方共享您的某些个人信息，以提供更好的客户服务和用户体验。
【同簇句】
我们仅会出于合法、正当、必要、特定、明确的目的共享您的个人信息，并且只会共享提供服务所必要的个人信息。
【同簇句】
同时，我们在与合作方签署的合作协议中会明确要求其遵守相关法律法规来保护、处理您的个人信息。
【同簇句】
我们将要求我们的合作方无权将共享的个人信息用于任何其他用途。
【同簇句】
如您通过Soul App购买或接受其他用户赠送的实物礼品时，我们会将您提供的收货人姓名、收货地址、收货人手机号码提供给阿里云计算有限公司运营的LinkedMall系统以及通过该系统接入的礼品供应商合作伙伴，以帮助您成功兑换并邮寄实物礼品。
【同簇句】
，此类情况我们将基于本政策以及其他司法管辖区的数据保护法的相关要求保护您的个人信息。
【同簇句】
（3）我们不时为您提供的其他产品与/或服务。","我们根据《中华人民共和国个人信息保护法》和《中华人民共和国网络安全法》等相关法律法规制定《Soul App个人信息保护政策》（以下简称""本政策""）并保护您的个人信息安全。",
7,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #17 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

请您结合我们的《Soul App用户服务协议》仔细阅读本政策，并在同意本政策约定内容的情况下使用Soul产品与/或服务。
【同簇句】
为了向您提供更优质和更符合您需求的服务，让您对Soul产品与/或服务有更好的使用体验，在法律法规允许的前提下，我们可能会根据您使用本产品时主动提供的、经您同意后由我们合作方提供的，以及我们主动采集的您的个人信息，进行数据分析，进行综合统计并通过特定算法进行用户特征与偏好分析，形成画像，以便为您展示或提供您感兴趣的、更加符合您实际需求的信息或为您推送更适合您的特定功能和/或服务，具体来说：
【同簇句】
若您希望了解Soul App提供本功能的模型基础信息，请参考《SoulX模型服务协议》。
【同簇句】
Soul拍相机/录制表情包
【同簇句】
您在使用「Soul 拍相机/录制表情包」拍摄相应照片或进行录像时，我们会在您的设备本地处理识别您摄像头所拍摄的具体内容，以为您提供针对性的贴纸、特效渲染等效果。
【同簇句】
剪贴板信息
【同簇句】
当您使用Soul产品与/或服务时，我们会使用您设备上的剪贴板功能并读取剪贴板的内容，以实现：当您将分享特定活动所生成的链接或者分享码写入剪贴板后，您打开Soul App时将即可自动跳转至对应的活动内容，便于您便捷浏览活动信息；
【同簇句】
我们能够根据剪贴板的内容为您解锁更多功能，提供更全面的服务。
【同簇句】
但我们仅在识别出剪贴板内容属于Soul App分享时才会上传至我们的服务器，我们不会读取您剪贴板中的其他信息。
【同簇句】
同时，我们还会基于风控目的读取您的剪贴板信息。
【同簇句】
此项功能将用于为您上传设备内的文本、图像、视频等内容，也可缓存您使用Soul产品与/或服务过程中产生的文本、图像、视频内容。
【同簇句】
请您知悉，为确保推送通道的稳定性，以保障消息及时送达，某些第三方SDK合作伙伴可能存在一定频率的关联启动行为，该行为是为实现消息推送服务所必要的。
【同簇句】
您同意并继续使用Soul产品与/或服务，即意味着您同意本政策（含更新版本）的内容。
【同簇句】
Soul产品与/或服务：指Soul向您提供的以下产品与/或服务：（1）通过Soul App提供的Soul产品与/或服务；
【同簇句】
（2）与上述产品与/或服务相关的任何软件；
【同簇句】
用户或您：指使用本产品与/或服务的用户。
【同簇句】
设备：指可用于访问Soul产品与/或服务的装置。",所有Soul产品与/或服务均适用本政策。,
8,,Soul,0,"【参考上下文】本句在句向量聚类中为噪声点（未归入稠密簇）。下列为同文档中抽取的若干其它句子，仅作 Lab3 行权方式识别的弱参照。

Soul App个人信息保护政策
【同簇句】
更新日期：2023年11月21日
【同簇句】
生效日期：2023年11月28日
【同簇句】
Soul App是由上海任意门科技有限公司及其关联公司（注册地址为：中国（上海）自由贸易试验区芳春路400号1幢3层304室，以下简称""我们""或""Soul""）为用户（以下简称""您""，详情请查阅关键词定义）提供的社交类应用软件，包括移动应用、小程序及快应用（以下简称""Soul App""）。
【同簇句】
我们通过Soul App为您提供""灵魂匹配、发帖回复、聊天""等功能，我们现在或将来还可能为您提供其他产品与/或服务（以下简称""Soul产品与/或服务或本产品与/或服务""，详情请查阅关键词定义）。
【同簇句】
我们根据《中华人民共和国个人信息保护法》和《中华人民共和国网络安全法》等相关法律法规制定《Soul App个人信息保护政策》（以下简称""本政策""）并保护您的个人信息安全。
【同簇句】
所有Soul产品与/或服务均适用本政策。
【同簇句】
请您知悉，Soul不使用Cookie或其他同类技术追踪您的个人信息。
【同簇句】
请您结合我们的《Soul App用户服务协议》仔细阅读本政策，并在同意本政策约定内容的情况下使用Soul产品与/或服务。
【同簇句】
对所有重点内容，我们将采用""加粗""的书写方式进行提示。
【同簇句】
对于个人敏感信息，我们采用""加粗斜体""的书写方式进行特别提醒，希望您在阅读时特别关注。
【同簇句】
在您向我们提供您的任何个人敏感信息前，您已慎重考虑并在此确认该等提供是适当的，您在此同意您的个人敏感信息可按照本政策所述的目的和方式进行处理。
【同簇句】
个人信息权利的实现方式包括但不限于查阅、复制、更正、补充、删除、注销、撤回授权、要求我们解释说明本政策、及时得到响应等，以确保您实现对您个人信息的控制权。
【同簇句】
我们会严格依据本政策以及您的同意处理您的个人信息。
【同簇句】
如您不同意本政策，您应当停止使用Soul产品与/或服务。
【同簇句】
请您理解，Soul App经更新后，如果您是小于18周岁的未成年人，请您不要注册Soul App。
【同簇句】
若您是小于18周岁的未成年人但在Soul App（版本号： 3.8.36）更新前已注册了Soul账号，我们将为您提供青少年保护服务模式。
【同簇句】
关于青少年保护服务模式的具体内容及限制，请以实际页面展示为准。
【同簇句】
如何收集和使用您的个人信息
【同簇句】
如何委托处理、共享、转让及披露您的个人信息",本政策介绍了我们在向您提供Soul产品与/或服务的过程中处理您个人信息的目的、方式、范围、保存期限和信息安全保护措施，以及您行使法律规定权利的方式和程序。,
9,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #15 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

为实现我们的基本业务功能，我们需要向您收集以下个人信息，若您拒绝提供，我们将无法向您提供相应的服务。
【同簇句】
请您理解，该信息不会泄露您的详细地址。
【同簇句】
如果您不希望提供上述信息，您将无法使用相应功能。
【同簇句】
但请您理解，单独的设备传感器信息不属于您的个人信息。
【同簇句】
如果您要求退出个性化匹配和推荐相关的自动化决策模式的，您可以按照本政策第3.5条的方式处理。
【同簇句】
如果您不同意接收个性化的营销信息，可以按照本协议第3.5条的方式拒绝。
【同簇句】
如您不提供此类信息，您将无法使用下述扩展业务功能，但不会影响您基本业务功能的正常使用。
【同簇句】
如您拒绝提供上述信息，前述功能将无法实现。
【同簇句】
如您拒绝提供此类信息，我们将无法向您寄送礼品。
【同簇句】
如您拒绝提供上述信息的，前述功能将无法实现。
【同簇句】
同时，除本政策另有明确约定外，我们不会将您的设备信息提供给任何第三方，但我们无法保证其他第三方不会通过其他途径获知您设备信息、并将您的设备信息与其他信息相结合识别您个人身份，由此造成您任何损失的，您应向该第三方主张赔偿。
【同簇句】
如果您拒绝我们收集此类信息，前述相关功能将无法正常使用，但不影响您使用Soul App的其他功能。
【同簇句】
您可以选择是否授权我们使用您设备的相关权限，如果您不授权我们使用相关权限，可能会导致部分服务无法使用，但是不影响您使用Soul App的其他功能。
【同簇句】
如果您拒绝该项授权，前述功能将无法正常使用。
【同簇句】
如您拒绝该项授权，前述功能将无法使用。
【同簇句】
若您是安卓系统用户，您拒绝该项授权将导致您无法正常使用本产品与/或服务。
【同簇句】
若您是iOS系统用户，受iOS系统限制，您可能无法直接拒绝或关闭上述授权，但针对部分设备信息（例如：IDFA信息，具体以iOS系统政策不时更新的实际情况为准），您可以自行选择是否授权我们进行收集，如您拒绝授权，我们可能无法为您提供对应的功能或服务（如：您拒绝我们收集您的IDFA信息，我们将无法基于IDFA追踪标识为您提供个性化展示）。
【同簇句】
您拒绝该项授权将导致您无法正常使用本产品与/或服务。
【同簇句】
如您拒绝第三方在提供服务时收集、使用您的个人信息，将可能导致您无法使用部分Soul产品与/或服务。
【同簇句】
未经您同意，我们不会向第三方提供您的个人信息。
【同簇句】
拒绝自动化决策",请您知悉，Soul不使用Cookie或其他同类技术追踪您的个人信息。,
10,,Soul,0,"【参考上下文：簇内语义聚合】以下为与当前隐私政策句同属 HDBSCAN 簇 #17 的其它句子汇总（不含当前句）。仅用于辅助理解主题；最终仍只对当前句抽取 Lab3 行权字段。

所有Soul产品与/或服务均适用本政策。
【同簇句】
为了向您提供更优质和更符合您需求的服务，让您对Soul产品与/或服务有更好的使用体验，在法律法规允许的前提下，我们可能会根据您使用本产品时主动提供的、经您同意后由我们合作方提供的，以及我们主动采集的您的个人信息，进行数据分析，进行综合统计并通过特定算法进行用户特征与偏好分析，形成画像，以便为您展示或提供您感兴趣的、更加符合您实际需求的信息或为您推送更适合您的特定功能和/或服务，具体来说：
【同簇句】
若您希望了解Soul App提供本功能的模型基础信息，请参考《SoulX模型服务协议》。
【同簇句】
Soul拍相机/录制表情包
【同簇句】
您在使用「Soul 拍相机/录制表情包」拍摄相应照片或进行录像时，我们会在您的设备本地处理识别您摄像头所拍摄的具体内容，以为您提供针对性的贴纸、特效渲染等效果。
【同簇句】
剪贴板信息
【同簇句】
当您使用Soul产品与/或服务时，我们会使用您设备上的剪贴板功能并读取剪贴板的内容，以实现：当您将分享特定活动所生成的链接或者分享码写入剪贴板后，您打开Soul App时将即可自动跳转至对应的活动内容，便于您便捷浏览活动信息；
【同簇句】
我们能够根据剪贴板的内容为您解锁更多功能，提供更全面的服务。
【同簇句】
但我们仅在识别出剪贴板内容属于Soul App分享时才会上传至我们的服务器，我们不会读取您剪贴板中的其他信息。
【同簇句】
同时，我们还会基于风控目的读取您的剪贴板信息。
【同簇句】
此项功能将用于为您上传设备内的文本、图像、视频等内容，也可缓存您使用Soul产品与/或服务过程中产生的文本、图像、视频内容。
【同簇句】
请您知悉，为确保推送通道的稳定性，以保障消息及时送达，某些第三方SDK合作伙伴可能存在一定频率的关联启动行为，该行为是为实现消息推送服务所必要的。
【同簇句】
您同意并继续使用Soul产品与/或服务，即意味着您同意本政策（含更新版本）的内容。
【同簇句】
Soul产品与/或服务：指Soul向您提供的以下产品与/或服务：（1）通过Soul App提供的Soul产品与/或服务；
【同簇句】
（2）与上述产品与/或服务相关的任何软件；
【同簇句】
用户或您：指使用本产品与/或服务的用户。
【同簇句】
设备：指可用于访问Soul产品与/或服务的装置。",请您结合我们的《Soul App用户服务协议》仔细阅读本政策，并在同意本政策约定内容的情况下使用Soul产品与/或服务。,
