item,app,sentence,taxonomy_22_id,label,suggested_label,reviewer,review_time
IP地址,360借条,这些SDK将收集您的设备信息ICCID、IMEI、IMSI、IP、运营商名称、运营商编码用于运营商本机号码校验认证与登录，如您拒绝提供的，您将无法使用运营商登录（本机号码一键登录&本机号码校验登录）服务，但您可以选择使用上述其他登录方式进行登录。,19,否定,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,360借条,特别说明：如您的设备为安卓系统，在获取IP地址、SSID、BSSID、蜂窝网络IP/ID时，某些品牌手机（如华为）会在系统的权限使用记录增加地理位置的使用次数，但在此场景下，我们不会获取您的任何地理位置信息。,1,否定,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,51Job,为了您可以更加安全便捷地登录/注册您的账号，我们为您提供了本机号码一键登录功能，当您同意并选择使用本机号码一键登录功能时，我们将通过闪验SDK会获取您的IP地址、OAID、SIM卡信息，并会收集设备类型、设备型号、操作系统、网络环境、网关取号报错日志数据，并安全进行身份认证后，为您提供免验证码登录/注册服务。,19,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,51Job,为了维护网络安全，保障平台良好的求职招聘环境，您的IP地址对应的归属地域信息将会展示在您的聊天对话框上方，境内展示到省（自治区、直辖市），境外展示到国家（地区），IP地址以网络运营商提供的为准。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,51Job,为了维护网络安全，保障平台良好的求职招聘环境，您的IP地址对应的归属地域信息将会展示在您的个人主页，IP地址以网络运营商提供的为准。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,51Job,为了您可以更加安全便捷地登录/注册您的账号，我们为您提供了本机号码一键登录功能，当您同意并选择使用本机号码一键登录功能时，我们将通过闪验SDK会获取您的IP地址、OAID、SIM卡信息，并会收集设备类型、设备型号、操作系统、网络环境、网关取号报错日志数据，并安全进行身份认证后，为您提供免验证码登录/注册服务。,19,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,51Job,为了维护网络安全，保障平台良好的求职招聘环境，您的IP地址对应的归属地域信息将会展示在您的聊天对话框上方，境内展示到省（自治区、直辖市），境外展示到国家（地区），IP地址以网络运营商提供的为准。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,51Job,为了维护网络安全，保障平台良好的求职招聘环境，您的IP地址对应的归属地域信息将会展示在您的个人主页，IP地址以网络运营商提供的为准。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,58同城,我们会接入第三方SDK，包括移动一键登录SDK、电信一键登录SDK、联通一键登录SDK（Android端、iOS端）为您实现手机号一键登录58同城的功能，将由其收集您的运营商信息、IP地址、SIM卡状态、手机号码、IDFV(iOS)，此类信息属于该功能的必需信息，您拒绝提供，将无法实现一键登录的功能。,8,否定,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
IP地址,58同城,我们会使用有关技术获取您的位置信息（准确度会有所不同），这些技术包括 IP 地址、GPS 以及能够提供相关信息的WLAN（Wi-Fi） 接入点、蓝牙和基站。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,Hi 医生,收集个人信息类型：设备信息（IMEI、IMSI、MAC地址）、用户机型、屏幕尺寸、操作系统版本号、目标API（targetAPI）、网络类型（ApnType）、网络边户监听广播、WiFi信息（状态信息、MAC地址、BSSID）、获取网络状态,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,Hi 医生,收集个人信息类型：常用设备信息（包括IMEI/MAC地址、用户确定设备唯一标识/软件列表）,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,世纪佳缘,1为了保障软件与服务的安全运行、运营的质量及效率，我们会收集使用您的设备型号、MAC地址、操作系统、唯一设备标识符（指由设备制造商编入到设备中的一串字符，可用于以独有方式标识相应设备，IDFA/IMEI/OAID/ Android ID/OPENUDID/GUID，设备序列号）、登陆IP地址、mac地址、软件版本号、接入网络的方式、类型和状态、网络质量数据、设备加速度传感器、陀螺仪传感器、IMSI信息、已安装或正在运行的必要的应用/软件列表信息（包括应用/软件来源、应用/软件程序的总体运行情况）、SD卡数据、SIM卡序列号（ICCID）、操作日志、服务日志信息（您在世纪佳缘搜索、点击、浏览、关注、分享、收藏、交易、发布的信息、服务故障信息、引荐网址信息）。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,东方财富,客户交易终端信息是客户委托记录、交易记录的重要组成部分，包括但不限于以下内容：电话号码、互联网通讯协议地址（IP地址）、媒介访问控制地址（MAC地址）以及其他能识别客户交易终端的特征代码。,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,中国工商银行,（29）数美SDK：为了向您提供银联云网支付服务，我行使用的云闪付网络支付SDK中引用了数美SDK，该SDK需要收集设备型号、硬件序列号、系统版本号、MAC地址、IMEI、IMSI、地理位置，用于提供识别欺诈用户，保障交易安全服务。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,中国工商银行,（42）AnyChat SDK：为了向您提供证券开户服务，我行使用的凡泰极客SDK中引用了AnyChat SDK，该SDK需要收集获取设备号（IMEI、Android ID）、IP、MAC地址、手机型号信息，需要获取麦克风、摄像头、相册、定位权限，用于验证客户身份并进行在线证券开户。,5,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,小荷健康,不同的标识符在有效期、是否可由用户重置以及获取方式方面会有所不同）、网络设备硬件地址（设备MAC地址）、IP 地址、WLAN接入点（如SSID，BSSID）、蓝牙（Bluetooth）、基站、软件版本号、网络接入方式、类型、状态、网络质量数据、操作、使用、服务日志、方向传感器、加速度传感器数据。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,平安证券,当您使用行情、资讯、投顾服务和投资分析工具时，我们会记录您的手机号码、IMEI，以校验您的账户权限，记录MAC地址、IP地址以区分请求来源，如果您拒绝提供前述信息，相应功能可能无法使用，但不影响您使用我们提供的其他服务。,1,否定,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,平安证券,如果产品功能涉及到您与平安证券签署投资顾问服务协议、产品风险揭示书等，我们将会使用您的交易账户登录验证功能，确保协议签署的有效性，需获取您的手机设备信息、IMEI、IP地址、MAC地址、IMSI、账号信息、身份信息、交易账号、口令密码、姓名、身份证件类型、身份证件号码、身份证件有效期、身份证件照片、性别、生日、民族、国籍。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
MAC地址,平安证券,当您使用行情、资讯、投顾服务和投资分析工具时，我们会记录您的手机号码、IMEI，以校验您的账户权限，记录MAC地址、IP地址以区分请求来源，如果您拒绝提供前述信息，相应功能可能无法使用，但不影响您使用我们提供的其他服务。,1,否定,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,360借条,"在您启动/打开APP时，为了检测网络环境安全，同时为了恢复设备ID，落实《中华人民共和国反电信网络诈骗法》（以下简称""反电信网络诈骗法""）中的异常账户和可疑交易监测，我们将收集如下非必需信息：蜂窝网络IP/ID、sim卡序列号、MAC地址、IP地址、WiFi网关、蓝牙Mac地址、设备序列号（SN）、总存储空间大小、可使用存储空间大小、总内存空间大小、可使用内存空间大小、IOS设备的基站信息MCC及MNC、IOS设备广告追踪ID（IDFA ）、IOS设备应用开发商标识符（IDFV）。",4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,360借条,您可以通过360借条查看您申请的贷款产品、购买的商城产品交易信息、订单信息及搜索信息、收藏信息，您知晓并同意我们将从平台相关合作方（包括贷款服务机构、商家、物流公司）收集、存储并处理您的交易信息及订单信息。,5,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,360借条,同时，我们根据《中华人民共和国网络安全法》规定，且为了监控系统服务稳定性，排除并减少产品崩溃情况，进行功能使用数、稳定性的分析处理，开展内部审计、数据分析和研究，防范反欺诈及盗用风险，以及处理客户相关诉求，收集留存必需的网络日志信息（即自您开启360借条时开始的操作记录包括打开、注册、登录360借条，在360借条上查看/浏览、点击、滑动、关闭、下单、上传、交易、搜索、修改的记录）。,8,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,360借条,在人脸识别、身份证及银行卡验证、行驶证拍摄、帮助中心意见反馈、在线客服自选选择上传、交易凭证上传、营业执照拍摄、公证视频录制、芝麻分认证、借呗额度认证、公积金认证、个税认证、寿险认证、商城退货凭证上传、更换头像、录屏认证、补充资料及评论上传、周转灵借款双录视频环节调用。,19,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,360借条,在人脸识别、身份证及银行卡验证、行驶证拍摄、帮助中心意见反馈、在线客服自选选择上传、交易凭证上传、营业执照拍摄、公证视频录制、芝麻分认证、借呗额度认证、公积金认证、个税认证、寿险认证、商城退货凭证上传、更换头像、评论上传以及补充资料上传视频、周转灵借款双录视频环节调用。,19,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,360借条,1 、我们承诺会根据相关法律法规及监管规定对您的个人信息（包括您主动提供的和我们自行收集、记录的所有数据、信息、资料和相应的交易行为记录、交易文件，下同）承担保密义务。,10,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,51Job,当您选择购买我们的服务时，我们会根据法律规定记录、保存在51Job上的服务信息、交易信息。,3,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,51Job,当您选择购买我们的服务时，我们会根据法律规定记录、保存在51Job上的服务信息、交易信息。,3,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,58同城,"10）交易可视化工具：当您 使用""58同城-二手房""交易可视化功能时，相关服务由上海巧房信息科技有限公司提供。",19,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
交易信息,58同城,您在58同城上创建的某一交易中，交易任何一方履行或部分履行了交易义务并提出信息披露请求的，58同城会视情况向该用户提供其交易对方的联络方式必需信息，以促成交易的完成或纠纷的解决；,8,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,如您使用不同设备登录360借条APP的，为保障您的账号安全，我们将通过face++SDK、阿里云活体检测SDK或腾讯云人脸核身 SDK为您提供人脸比对服务，在此种情形下，我们收集您的人脸信息用于身份核验，但我们不存储您的人脸信息。,1,否定,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,为了贷款服务机构能够准确评估您的信用状况，更为了防止您的贷款资金被不法分子获取、落实反欺诈防范风险、保障您的账户资金安全，您需要提供如下必需信息：姓名、身份证信息、人脸信息（本人身份核验）、设备信息（即蜂窝网络IP/ID、sim卡序列号、设备的android id、MAC地址、IP地址、WiFi网关、设备的IMEI号、WiFi的SSID、WiFi的BSSID、蓝牙Mac地址、设备IMSI、设备序列号（SN）、补充设备标识符OAID、总存储空间大小、可使用存储空间大小、总内存空间大小、可使用内存空间大小、IOS设备的基站信息MCC及MNC、IOS设备广告追踪ID（IDFA）、IOS设备应用开发商标识符(IDFV)、电话状态。,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,在授信评估环节，如您使用OCR识别功能的，需要调用相机权限进行人脸识别和身份证识别，或调用NFC权限进行身份证识别；,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,必需信息：姓名（直接使用已提供的信息）、身份证信息（如授信阶段已经提供且未过期，则将直接使用）、银行卡信息（如授信阶段已经提供，则将直接使用）、人脸信息（如在不同设备上登录您的账户，用于本人身份核验，保护账户安全）、联系人信息（如授信阶段未提供，则需要补充提供）、定位信息（区域性放款准入及学生准入拒绝）和设备信息（即蜂窝网络IP/ID、sim卡序列号、设备的android id、MAC地址、IP地址、WiFi网关、设备的IMEI号、WiFi的SSID、WiFi的BSSID、蓝牙Mac地址、设备IMSI、设备序列号、补充设备标识符OAID、总存储空间大小、可使用存储空间大小、总内存空间大小、可使用内存空间大小、IOS设备的基站信息MCC及MNC、IOS设备广告追踪ID、IOS设备应用开发商标识符、电话状态。,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,在进行人脸识别和/或身份证识别时，如您使用OCR识别功能的，需要调用相机权限，或调用NFC权限；,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,为了保证您及他人的合法权益，如您被他人投诉或投诉他人或者公安机关报案，我们会将您的姓名及有效证件号码、联系方式、投诉相关内容、360借条注册相关信息、贷款信息、人脸照片提供给消费者权益保护部门、公安机关、监管机关及法院和仲裁机构，以便及时解决投诉纠纷及协助配合刑事犯罪调查，但法律法规明确禁止提供的除外。,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,此外，如需采集人脸信息，我们将使用FACE++活体检测SDK、阿里云活体检测SDK或腾讯云人脸核身 SDK为您提供人脸识别服务。,19,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,在身份证及银行卡验证、人脸识别、在线客服自主选择上传环节调用.,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,360借条,在身份证及银行卡验证、人脸识别、在线客服自主选择上传环节调用.,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
人脸信息,51Job,实名认证服务：本服务由腾讯云慧眼和中胜信用管理有限公司提供技术支持，通过手机号核验、身份信息核验、人脸核验等方式确认您身份的真实性，并将认证结果反馈给前程无忧51Job的服务。,5,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
出生日期,51Job,微人才中会收集求职者的姓名、手机、邮箱、性别、出生日期、最高学历、工作年限、公司、职位、附件，求职者填写、勾选同意此用户规则提交后，上述数据会进入内推后台系统、供hr管理使用。,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
出生日期,58同城,您补充的账户信息将有助于我们为您提供个性化的服务推荐和更优的服务体验，包括：提升账号的安全性，以便您享受更好的保障服务；,6,不确定,不确定,assistant_auto_review,2026-05-23T16:18:08.909841
出生日期,Blued极速版,当您创建 Blued ID时，我们会收集您的昵称、头像、出生日期、手机号码、邮箱地址，收集这些信息是为了帮助您完成注册，保护您帐号的安全并完成网络实名制的要求，同时，您可以选择向我们提供身份证信息、面部特征识别信息，留存并完善实名认证。,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
出生日期,Soul,智能辅助聊天：为了提供智能辅助聊天服务，我们会使用您注册时提供的基本资料（包括昵称、年龄/生日、性别、所在地、引力签）、您使用服务期间产生的行为数据（包括注册时间、「瞬间」、互动记录、网络日志），用于完善算法功能，以根据您的选择提供智能辅助聊天服务（如AI苟蛋、异世界回响）。,4,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
出生日期,Soul,个性化内容：为了向您展示、推荐或推送您可能感兴趣的图文视频/群组/派对/「瞬间」话题，提供搜索结果，推荐商品和服务，我们会使用您注册时提供的基本资料（包括年龄/生日、性别、所在地、引力签、学业情况）、您使用服务期间产生的行为数据（包括注册时间、「瞬间」、用户互动记录、网络日志）、消费情况和设备信息，形成用户属性分类，并对不同属性的用户采用不同的内容展示策略。,3,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
出生日期,Soul,个性化广告：为了向您展示、推荐或推送与您的偏好有更高匹配及关联程度的广告，我们会使用您注册时提供的基本资料（包括年龄/生日、性别、所在地、时区、引力签）、您使用服务期间产生的行为数据（包括广告点击、转化情况、网络日志）设备信息和网络类型，形成用户特征标签，并根据广告主指定的目标人群类型，通过系统自动化地将广告投放给相关人群用户。,13,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
出生日期,Soul,个性化匹配：为了在「用户匹配」功能如灵魂匹配、恋爱铃等中向您展示、推荐或推送与您有更高相关程度的用户，我们会使用您注册时提供的基本资料（包括年龄/生日、性别、所在地、引力签）、您使用服务期间产生的行为数据（包括「瞬间」、用户互动、匹配记录、网络日志）、消费情况和设备信息，形成用户画像，并为用户提供爱好相似等合适的聊天对象。,3,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
出生日期,世纪佳缘,我们还会收集您的昵称、性别、生日、婚姻状况，上述信息系我们提供婚恋交友基本功能所必要的个人信息，收集这些信息是为了帮助您完成注册，建立您的征婚档案，提供基本的婚恋交友服务。,1,确实声明收集,确实声明收集,assistant_auto_review,2026-05-23T16:18:08.909841
