app_id,app_pkg,app_name,category_id,data_safety_content,privacy_policy_content,incorrect,incomplete,inconsistent
1,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",更新日期：2023年10月26日,0,0,0
2,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",生效日期：2023年11月2日,0,0,0
3,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",小红书特别提请未满18周岁的未成年（特别是未满十四周岁的儿童）及其监护人的注意，我们已明确未成年保护专门章节（以粗体提示），请您仔细阅读。,0,0,0
4,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",小红书网站及APP的经营者为行吟信息科技（上海）有限公司及其关联公司。,1,0,0
5,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",注册地址为上海市黄浦区马当路368号SOHO复兴广场C楼C201室、C202室、C203室、C204室、C205室、C206室、C207室。,0,0,0
6,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",七、我们如何使用Cookie和其他同类技术,0,0,0
7,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}","小红书是年轻人的生活方式平台，小红书以""Inspire Lives 分享和发现世界的精彩""为使命，用户可以通过短视频、图文等形式记录生活点滴，分享生活方式，并基于兴趣形成互动。",0,0,0
8,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",我们将在本政策中依次向您说明每项功能可能收集的个人信息范围、收集目的、收集方式，以及拒绝提供个人信息可能导致的结果。,0,0,0
9,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请您知悉，您拒绝提供各项功能实现所必要的对应信息时，仍然可以使用小红书App的其他功能。,0,0,0
10,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",1.账号注册及登录,0,0,0
11,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",当您注册及登录时，如您使用一键登录的功能，基于我们与通信运营商的合作，我们会收集您的【手机号码和网络运营商信息】，以便为您提供快捷的登录服务；,1,0,0
12,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",同时，为帮助您完成注册过程，我们还将收集您的【兴趣】，以为您提供小红书初始服务。,1,0,0
13,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如您使用第三方账号进行登录，为了满足网络实名制要求，在您使用发布、评论及其他要求实名认证的功能与服务前，我们将另行收集您的手机号码以完成实名认证。,1,0,0
14,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",请您谨慎考虑后提供这类信息，若您拒绝提供，您可能无法正常使用相应的功能。,1,0,0
15,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",您还可以根据自身需求选择填写或更改头像、名字、性别、生日、职业、地区、学校、简介、穿搭信息来完善您的信息，但如您不提供此类信息，不会影响您使用本产品和相关服务。,1,0,0
16,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",如果您成功注册小红书账号，我们会在小红书应用程序及网站中显示您的名字、头像、地区、简介信息。,1,0,0
17,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",2.向您提供产品和/或服务,1,0,0
18,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",信息浏览、发布、点赞、收藏、分享功能,1,0,0
19,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",1.为了向您提供我们最核心的信息展示服务并向您推荐可能感兴趣的笔记及相关信息，我们会收集您填写个人资料、您的性别、生日、浏览记录（您的关注、浏览）和点击操作记录（兴趣、点击、搜索、点赞、收藏、分享、评论、发布记录及有关行为）。,1,0,0
20,,小红书,0,"{'data_shared': [], 'data_collected': [], 'security_practices': []}",若您希望关闭我们基于有关信息向您进行的推荐，您可参照本政策2.14条进行操作。,0,0,0
